Taxa	Mg	Ca	Mn	Fe	Cu	Zn	TKW	PH
GKN_002951_31_1	-2.074558312	-3.257412348	-5.994110987	-0.339831439	0.140715785	-2.043610365	-2.301062684	1.117605339
PI_355530_TR04ID_A67_1	5.633865434	-14.92557093	-4.129316613	2.143605256	0.175476453	0.060093005	-0.677023207	1.159321899
GKN_000247_8_1	5.262714522	-3.244103093	-4.090437023	1.246737771	-0.33563539	-1.281015925	-4.545846139	-1.093372341
GKN_000245_6_2	10.13333193	23.2452727	-1.851798136	0.920247794	0.181564544	5.916100219	-2.114298144	0.220699299
PI_428166_TR17ID_A3_1	10.41434324	18.31952352	4.372392127	1.951654092	0.107552127	-3.631796318	0.592434318	-0.342474261
GKN_000263_21_2	-6.898703789	-15.86468293	-3.167600826	-0.639606414	0.04924408	6.837723671	-1.598214488	1.639062339
PI_289599_TR04ID_A77_1	-17.40182905	32.02044438	2.621087441	-1.430910395	-0.108902434	3.350191163	-2.872183233	1.326188139
GKN_000269_27_1	3.28185805	17.51406232	3.506718727	1.524157511	-0.075378465	-3.771434988	0.513939077	-0.175608021
TR_68850_E33_2	-43.18756176	-21.30446817	-1.854659993	-1.733040286	-0.255802935	-6.423050583	-3.359395077	-2.094569781
TR_70177_E52_1	10.28391395	50.09828074	5.898320528	2.344030063	0.129368278	1.563778809	0.379504698	0.158124459
PI_272563_TR17ID_A81_1	30.50671164	61.0825393	12.15309979	3.910508002	0.092716012	4.37443047	0.831529019	-4.368122302
GKN_025885_120_2	32.19532264	-9.070509083	1.429152397	0.694432808	-0.205724739	0.380302986	0.892881621	-0.467623941
PI_190947_TR17ID_A59_1	22.99224721	15.84861538	4.851534711	1.143398797	-0.015608391	1.252462662	1.8916659	2.473393539
PI_272562_TR04ID_A80_1	23.74288233	6.121800448	7.045727768	2.065040965	0.16267199	-4.820681612	-0.571460641	1.388762979
TR_68822_E21_2	17.93162907	31.09053328	1.105227691	2.652553482	0.167500546	0.493651116	-0.219585421	-1.072514061
TR_68841_E30_1	-23.56607183	4.646865697	-1.72509179	1.505064539	-0.03506889	-4.209710914	-2.138658736	0.178982739
PI_191381_TR17ID_A68_2	-42.45166167	-40.7515904	-8.06860972	-0.473621203	-0.324619682	-7.062250771	-2.953385207	1.075888779
GKN_035879_33_1	9.625206685	-16.6761949	-2.668055356	1.722671869	0.02651222	-1.145083533	-4.141640758	1.284471579
TR_68862_E39_1	16.98726555	37.60872846	5.49891753	1.592235014	0.096942617	0.300799201	0.321761072	1.159321899
